WILAYAH,KECAMATAN,NAMA FASKES (Rumah Sakit dan Puskesmas),Jenis Penyakit,Januari,latitude,longitude
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,"Keracunan, cedera dan beberapa penyebab yang dari luar",94.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Penyebab morbiditas dan kematian eksternal,8.0,-7.3222179999999994,112.77076210366917
Surabaya Timur,Rungkut,Puskesmas Kalirungkut,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,877.0,-7.3222179999999994,112.77076210366917
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit Infeksi dan parasit,129.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Neoplasma,6.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,2.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,"Endokrin, nutrisi dan gangguan metabolik",110.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Gangguan jiwa dan perilaku,17.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit yang mengenai sistem syaraf,31.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit mata dan adnexa,46.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit telinga dan mastoid,31.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada sistem sirkulasi,104.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada sistem pernafasan,709.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada sistem pencernaan,486.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada kulit dan jaringan subcutaneous,98.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada sistem musculoskletal,145.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyakit pada sistem saluran kemih dan genital,24.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Kehamilan dan kelahiran,9.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Keadaan yang berasal dari periode perinatal,1.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",51.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,"Keracunan, cedera dan beberapa penyebab yang dari luar",25.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Penyebab morbiditas dan kematian eksternal,1.0,-6.90147775,112.06622680647001
Surabaya Selatan,Jambangan,Puskesmas Kebonsari,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,509.0,-6.90147775,112.06622680647001
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit Infeksi dan parasit,203.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Neoplasma,20.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,2.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,"Endokrin, nutrisi dan gangguan metabolik",115.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Gangguan jiwa dan perilaku,27.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit yang mengenai sistem syaraf,65.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit mata dan adnexa,89.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit telinga dan mastoid,68.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada sistem sirkulasi,182.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada sistem pernafasan,571.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada sistem pencernaan,419.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada kulit dan jaringan subcutaneous,145.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada sistem musculoskletal,272.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyakit pada sistem saluran kemih dan genital,47.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Kehamilan dan kelahiran,9.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Keadaan yang berasal dari periode perinatal,0.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",142.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,"Keracunan, cedera dan beberapa penyebab yang dari luar",47.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Penyebab morbiditas dan kematian eksternal,1.0,-7.26370155,112.73824149999999
Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,432.0,-7.26370155,112.73824149999999
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit Infeksi dan parasit,365.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Neoplasma,29.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,12.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,"Endokrin, nutrisi dan gangguan metabolik",351.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Gangguan jiwa dan perilaku,66.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit yang mengenai sistem syaraf,73.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit mata dan adnexa,148.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit telinga dan mastoid,97.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada sistem sirkulasi,397.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada sistem pernafasan,789.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada sistem pencernaan,755.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada kulit dan jaringan subcutaneous,155.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada sistem musculoskletal,358.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyakit pada sistem saluran kemih dan genital,80.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Kehamilan dan kelahiran,10.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Keadaan yang berasal dari periode perinatal,6.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,"Malformasi kongenital, deformasi dan kelainan chromosom",5.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",159.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,"Keracunan, cedera dan beberapa penyebab yang dari luar",60.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Penyebab morbiditas dan kematian eksternal,0.0,-7.3197547499999995,112.70939454900804
Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,745.0,-7.3197547499999995,112.70939454900804
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit Infeksi dan parasit,112.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Neoplasma,12.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,0.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,"Endokrin, nutrisi dan gangguan metabolik",15.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Gangguan jiwa dan perilaku,12.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit yang mengenai sistem syaraf,3.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit mata dan adnexa,27.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit telinga dan mastoid,27.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada sistem sirkulasi,57.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada sistem pernafasan,277.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada sistem pencernaan,306.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada kulit dan jaringan subcutaneous,67.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada sistem musculoskletal,85.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyakit pada sistem saluran kemih dan genital,29.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Kehamilan dan kelahiran,15.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Keadaan yang berasal dari periode perinatal,2.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,"Malformasi kongenital, deformasi dan kelainan chromosom",1.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",134.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,"Keracunan, cedera dan beberapa penyebab yang dari luar",33.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Penyebab morbiditas dan kematian eksternal,0.0,-7.24111075,112.79527909779556
Surabaya Utara,Bulak,Puskesmas Kenjeran,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,505.0,-7.24111075,112.79527909779556
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit Infeksi dan parasit,90.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Neoplasma,12.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,2.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,"Endokrin, nutrisi dan gangguan metabolik",101.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Gangguan jiwa dan perilaku,28.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit yang mengenai sistem syaraf,21.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit mata dan adnexa,42.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit telinga dan mastoid,33.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada sistem sirkulasi,84.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada sistem pernafasan,241.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada sistem pencernaan,100.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada kulit dan jaringan subcutaneous,58.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada sistem musculoskletal,156.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyakit pada sistem saluran kemih dan genital,33.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Kehamilan dan kelahiran,2.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Keadaan yang berasal dari periode perinatal,3.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,"Malformasi kongenital, deformasi dan kelainan chromosom",3.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",114.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,"Keracunan, cedera dan beberapa penyebab yang dari luar",41.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Penyebab morbiditas dan kematian eksternal,1.0,-7.293995499999999,112.80187601901247
Surabaya Timur,Sukolilo,Puskesmas Keputih,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,290.0,-7.293995499999999,112.80187601901247
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit Infeksi dan parasit,124.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Neoplasma,20.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,"Endokrin, nutrisi dan gangguan metabolik",168.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Gangguan jiwa dan perilaku,20.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit yang mengenai sistem syaraf,40.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit mata dan adnexa,61.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit telinga dan mastoid,35.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada sistem sirkulasi,174.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada sistem pernafasan,492.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada sistem pencernaan,384.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada kulit dan jaringan subcutaneous,129.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada sistem musculoskletal,216.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyakit pada sistem saluran kemih dan genital,40.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Kehamilan dan kelahiran,6.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Keadaan yang berasal dari periode perinatal,4.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",88.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,"Keracunan, cedera dan beberapa penyebab yang dari luar",44.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Penyebab morbiditas dan kematian eksternal,14.0,-7.2580613,112.74677403040269
Surabaya Pusat,Genteng,Puskesmas Ketabang,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,309.0,-7.2580613,112.74677403040269
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit Infeksi dan parasit,121.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Neoplasma,15.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,1.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,"Endokrin, nutrisi dan gangguan metabolik",70.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Gangguan jiwa dan perilaku,3.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit yang mengenai sistem syaraf,10.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit mata dan adnexa,88.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit telinga dan mastoid,67.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada sistem sirkulasi,34.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada sistem pernafasan,326.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada sistem pencernaan,396.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada kulit dan jaringan subcutaneous,80.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada sistem musculoskletal,147.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyakit pada sistem saluran kemih dan genital,27.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Kehamilan dan kelahiran,59.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Keadaan yang berasal dari periode perinatal,0.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",113.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,"Keracunan, cedera dan beberapa penyebab yang dari luar",52.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Penyebab morbiditas dan kematian eksternal,0.0,-7.289156200000001,112.77848995
Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,319.0,-7.289156200000001,112.77848995
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit Infeksi dan parasit,141.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Neoplasma,17.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,3.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,"Endokrin, nutrisi dan gangguan metabolik",33.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Gangguan jiwa dan perilaku,5.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit yang mengenai sistem syaraf,45.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit mata dan adnexa,48.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit telinga dan mastoid,36.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada sistem sirkulasi,43.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada sistem pernafasan,424.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada sistem pencernaan,416.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada kulit dan jaringan subcutaneous,142.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada sistem musculoskletal,213.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyakit pada sistem saluran kemih dan genital,32.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Kehamilan dan kelahiran,17.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Keadaan yang berasal dari periode perinatal,3.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,"Malformasi kongenital, deformasi dan kelainan chromosom",2.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",68.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,"Keracunan, cedera dan beberapa penyebab yang dari luar",39.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Penyebab morbiditas dan kematian eksternal,1.0,-7.2330710499999995,112.73121758057744
Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,336.0,-7.2330710499999995,112.73121758057744
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit Infeksi dan parasit,134.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Neoplasma,8.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,1.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,"Endokrin, nutrisi dan gangguan metabolik",49.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Gangguan jiwa dan perilaku,10.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit yang mengenai sistem syaraf,9.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit mata dan adnexa,47.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit telinga dan mastoid,34.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada sistem sirkulasi,31.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada sistem pernafasan,464.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada sistem pencernaan,329.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada kulit dan jaringan subcutaneous,104.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada sistem musculoskletal,183.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyakit pada sistem saluran kemih dan genital,30.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Kehamilan dan kelahiran,43.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Keadaan yang berasal dari periode perinatal,0.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,"Malformasi kongenital, deformasi dan kelainan chromosom",0.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,"Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain",125.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,"Keracunan, cedera dan beberapa penyebab yang dari luar",47.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Penyebab morbiditas dan kematian eksternal,1.0,-8.3667591,114.1466938
Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,336.0,-8.3667591,114.1466938
Surabaya Barat,Sambikerep,Puskesmas Lontar,Penyakit Infeksi dan parasit,137.0,-7.2850638,112.66273285
Surabaya Barat,Sambikerep,Puskesmas Lontar,Neoplasma,21.0,-7.2850638,112.66273285
Surabaya Barat,Sambikerep,Puskesmas Lontar,Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun,8.0,-7.2850638,112.66273285
Surabaya Barat,Sambikerep,Puskesmas Lontar,"Endokrin, nutrisi dan gangguan metabolik",146.0,-7.2850638,112.66273285
Surabaya Barat,Sambikerep,Puskesmas Lontar,Gangguan jiwa dan perilaku,19.0,-7.2850638,112.66273285
Surabaya Barat,Sambikerep,Puskesmas Lontar,Penyakit yang mengenai sistem syaraf,37.0,-7.2850638,112.66273285
