WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem sirkulasi;40
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem pernafasan;394
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem pencernaan;322
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada kulit dan jaringan subcutaneous;90
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem musculoskletal;103
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem saluran kemih dan genital;26
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Kehamilan dan kelahiran;37
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;104
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Keracunan, cedera dan beberapa penyebab yang dari luar;41
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyebab morbiditas dan kematian eksternal;4
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;203
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit Infeksi dan parasit;116
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Neoplasma;12
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Endokrin, nutrisi dan gangguan metabolik;45
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Gangguan jiwa dan perilaku;8
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit yang mengenai sistem syaraf;53
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit mata dan adnexa;69
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit telinga dan mastoid;42
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem sirkulasi;53
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem pernafasan;463
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem pencernaan;410
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada kulit dan jaringan subcutaneous;153
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem musculoskletal;195
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem saluran kemih dan genital;21
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Kehamilan dan kelahiran;17
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Keadaan yang berasal dari periode perinatal;2
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;93
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Keracunan, cedera dan beberapa penyebab yang dari luar;33
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;289
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit Infeksi dan parasit;88
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Neoplasma;9
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Endokrin, nutrisi dan gangguan metabolik;25
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Gangguan jiwa dan perilaku;4
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit yang mengenai sistem syaraf;4
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit mata dan adnexa;48
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit telinga dan mastoid;22
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem sirkulasi;24
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem pernafasan;434
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem pencernaan;244
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada kulit dan jaringan subcutaneous;87
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem musculoskletal;188
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem saluran kemih dan genital;16
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Kehamilan dan kelahiran;52
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Keadaan yang berasal dari periode perinatal;2
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;137
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;237
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit Infeksi dan parasit;122
Surabaya Barat;Sambikerep;Puskesmas Lontar;Neoplasma;24
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Barat;Sambikerep;Puskesmas Lontar;Endokrin, nutrisi dan gangguan metabolik;129
Surabaya Barat;Sambikerep;Puskesmas Lontar;Gangguan jiwa dan perilaku;23
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit yang mengenai sistem syaraf;28
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit mata dan adnexa;64
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit telinga dan mastoid;37
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem sirkulasi;93
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem pernafasan;430
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem pencernaan;325
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada kulit dan jaringan subcutaneous;81
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem musculoskletal;187
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem saluran kemih dan genital;50
Surabaya Barat;Sambikerep;Puskesmas Lontar;Kehamilan dan kelahiran;7
Surabaya Barat;Sambikerep;Puskesmas Lontar;Keadaan yang berasal dari periode perinatal;1
Surabaya Barat;Sambikerep;Puskesmas Lontar;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Barat;Sambikerep;Puskesmas Lontar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;141
Surabaya Barat;Sambikerep;Puskesmas Lontar;Keracunan, cedera dan beberapa penyebab yang dari luar;20
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Sambikerep;Puskesmas Lontar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;400
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit Infeksi dan parasit;33
Surabaya Barat;Sambikerep;Puskesmas Made;Neoplasma;8
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Barat;Sambikerep;Puskesmas Made;Endokrin, nutrisi dan gangguan metabolik;71
Surabaya Barat;Sambikerep;Puskesmas Made;Gangguan jiwa dan perilaku;12
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit yang mengenai sistem syaraf;56
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit mata dan adnexa;61
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit telinga dan mastoid;15
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem sirkulasi;56
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem pernafasan;282
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem pencernaan;339
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada kulit dan jaringan subcutaneous;59
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem musculoskletal;97
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem saluran kemih dan genital;18
Surabaya Barat;Sambikerep;Puskesmas Made;Kehamilan dan kelahiran;4
Surabaya Barat;Sambikerep;Puskesmas Made;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Sambikerep;Puskesmas Made;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Sambikerep;Puskesmas Made;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;22
Surabaya Barat;Sambikerep;Puskesmas Made;Keracunan, cedera dan beberapa penyebab yang dari luar;36
Surabaya Barat;Sambikerep;Puskesmas Made;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Sambikerep;Puskesmas Made;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;254
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit Infeksi dan parasit;135
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Neoplasma;11
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Endokrin, nutrisi dan gangguan metabolik;100
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Gangguan jiwa dan perilaku;11
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit yang mengenai sistem syaraf;46
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit mata dan adnexa;48
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit telinga dan mastoid;48
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem sirkulasi;67
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem pernafasan;433
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem pencernaan;486
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada kulit dan jaringan subcutaneous;75
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem musculoskletal;151
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem saluran kemih dan genital;35
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Kehamilan dan kelahiran;9
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Keadaan yang berasal dari periode perinatal;7
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;109
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Keracunan, cedera dan beberapa penyebab yang dari luar;33
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;442
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit Infeksi dan parasit;289
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Neoplasma;30
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Endokrin, nutrisi dan gangguan metabolik;118
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Gangguan jiwa dan perilaku;27
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit yang mengenai sistem syaraf;19
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit mata dan adnexa;87
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit telinga dan mastoid;79
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem sirkulasi;115
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem pernafasan;724
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem pencernaan;789
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada kulit dan jaringan subcutaneous;158
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem musculoskletal;340
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem saluran kemih dan genital;69
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Kehamilan dan kelahiran;29
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Keadaan yang berasal dari periode perinatal;11
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;294
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Keracunan, cedera dan beberapa penyebab yang dari luar;62
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyebab morbiditas dan kematian eksternal;7
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;950
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit Infeksi dan parasit;124
Surabaya Timur;Sukolilo;Puskesmas Menur;Neoplasma;22
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Timur;Sukolilo;Puskesmas Menur;Endokrin, nutrisi dan gangguan metabolik;89
Surabaya Timur;Sukolilo;Puskesmas Menur;Gangguan jiwa dan perilaku;18
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit yang mengenai sistem syaraf;36
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit mata dan adnexa;105
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit telinga dan mastoid;53
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem sirkulasi;98
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem pernafasan;561
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem pencernaan;468
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada kulit dan jaringan subcutaneous;131
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem musculoskletal;204
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem saluran kemih dan genital;36
Surabaya Timur;Sukolilo;Puskesmas Menur;Kehamilan dan kelahiran;18
Surabaya Timur;Sukolilo;Puskesmas Menur;Keadaan yang berasal dari periode perinatal;7
Surabaya Timur;Sukolilo;Puskesmas Menur;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Sukolilo;Puskesmas Menur;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;149
Surabaya Timur;Sukolilo;Puskesmas Menur;Keracunan, cedera dan beberapa penyebab yang dari luar;41
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyebab morbiditas dan kematian eksternal;1
Surabaya Timur;Sukolilo;Puskesmas Menur;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;399
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit Infeksi dan parasit;147
Surabaya Timur;Gubeng;Puskesmas Mojo;Neoplasma;47
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Timur;Gubeng;Puskesmas Mojo;Endokrin, nutrisi dan gangguan metabolik;156
Surabaya Timur;Gubeng;Puskesmas Mojo;Gangguan jiwa dan perilaku;20
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit yang mengenai sistem syaraf;55
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit mata dan adnexa;155
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit telinga dan mastoid;80
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem sirkulasi;222
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem pernafasan;615
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem pencernaan;564
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada kulit dan jaringan subcutaneous;155
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem musculoskletal;250
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem saluran kemih dan genital;65
Surabaya Timur;Gubeng;Puskesmas Mojo;Kehamilan dan kelahiran;25
Surabaya Timur;Gubeng;Puskesmas Mojo;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Gubeng;Puskesmas Mojo;Malformasi kongenital, deformasi dan kelainan chromosom;8
Surabaya Timur;Gubeng;Puskesmas Mojo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;329
Surabaya Timur;Gubeng;Puskesmas Mojo;Keracunan, cedera dan beberapa penyebab yang dari luar;96
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Gubeng;Puskesmas Mojo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;527
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit Infeksi dan parasit;81
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Neoplasma;13
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Endokrin, nutrisi dan gangguan metabolik;53
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Gangguan jiwa dan perilaku;26
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit yang mengenai sistem syaraf;8
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit mata dan adnexa;51
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit telinga dan mastoid;27
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem sirkulasi;100
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem pernafasan;586
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem pencernaan;81
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada kulit dan jaringan subcutaneous;110
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem musculoskletal;207
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem saluran kemih dan genital;18
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Kehamilan dan kelahiran;7
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Keadaan yang berasal dari periode perinatal;1
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;34
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Keracunan, cedera dan beberapa penyebab yang dari luar;9
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;174
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit Infeksi dan parasit;128
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Neoplasma;18
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Endokrin, nutrisi dan gangguan metabolik;110
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Gangguan jiwa dan perilaku;13
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit yang mengenai sistem syaraf;8
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit mata dan adnexa;76
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit telinga dan mastoid;37
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem sirkulasi;133
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem pernafasan;456
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem pencernaan;397
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada kulit dan jaringan subcutaneous;86
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem musculoskletal;129
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem saluran kemih dan genital;34
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Kehamilan dan kelahiran;4
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Keadaan yang berasal dari periode perinatal;12
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;105
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Keracunan, cedera dan beberapa penyebab yang dari luar;48
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;108
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit Infeksi dan parasit;155
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Neoplasma;32
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Endokrin, nutrisi dan gangguan metabolik;90
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Gangguan jiwa dan perilaku;9
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit yang mengenai sistem syaraf;21
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit mata dan adnexa;79
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit telinga dan mastoid;52
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem sirkulasi;119
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem pernafasan;442
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem pencernaan;433
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada kulit dan jaringan subcutaneous;124
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem musculoskletal;206
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Kehamilan dan kelahiran;10
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;108
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Keracunan, cedera dan beberapa penyebab yang dari luar;68
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;447
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit Infeksi dan parasit;151
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Neoplasma;19
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Endokrin, nutrisi dan gangguan metabolik;110
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Gangguan jiwa dan perilaku;9
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit yang mengenai sistem syaraf;48
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit mata dan adnexa;65
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit telinga dan mastoid;79
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem sirkulasi;150
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem pernafasan;626
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem pencernaan;250
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada kulit dan jaringan subcutaneous;129
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem musculoskletal;245
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem saluran kemih dan genital;40
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Kehamilan dan kelahiran;8
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;146
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Keracunan, cedera dan beberapa penyebab yang dari luar;63
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;159
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit Infeksi dan parasit;171
Surabaya Selatan;Sawahan;Puskesmas Pakis;Neoplasma;20
