WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Januari
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem sirkulasi;34
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem pernafasan;326
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem pencernaan;396
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada kulit dan jaringan subcutaneous;80
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem musculoskletal;147
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit pada sistem saluran kemih dan genital;27
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Kehamilan dan kelahiran;59
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Keadaan yang berasal dari periode perinatal;0
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;113
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Keracunan, cedera dan beberapa penyebab yang dari luar;52
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;319
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit Infeksi dan parasit;141
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Neoplasma;17
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Endokrin, nutrisi dan gangguan metabolik;33
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Gangguan jiwa dan perilaku;5
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit yang mengenai sistem syaraf;45
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit mata dan adnexa;48
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit telinga dan mastoid;36
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem sirkulasi;43
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem pernafasan;424
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem pencernaan;416
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada kulit dan jaringan subcutaneous;142
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem musculoskletal;213
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyakit pada sistem saluran kemih dan genital;32
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Kehamilan dan kelahiran;17
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Keadaan yang berasal dari periode perinatal;3
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;68
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Keracunan, cedera dan beberapa penyebab yang dari luar;39
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;336
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit Infeksi dan parasit;134
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Neoplasma;8
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Endokrin, nutrisi dan gangguan metabolik;49
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Gangguan jiwa dan perilaku;10
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit yang mengenai sistem syaraf;9
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit mata dan adnexa;47
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit telinga dan mastoid;34
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem sirkulasi;31
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem pernafasan;464
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem pencernaan;329
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada kulit dan jaringan subcutaneous;104
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem musculoskletal;183
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyakit pada sistem saluran kemih dan genital;30
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Kehamilan dan kelahiran;43
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;125
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;336
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit Infeksi dan parasit;137
Surabaya Barat;Sambikerep;Puskesmas Lontar;Neoplasma;21
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Barat;Sambikerep;Puskesmas Lontar;Endokrin, nutrisi dan gangguan metabolik;146
Surabaya Barat;Sambikerep;Puskesmas Lontar;Gangguan jiwa dan perilaku;19
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit yang mengenai sistem syaraf;37
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit mata dan adnexa;68
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit telinga dan mastoid;36
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem sirkulasi;111
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem pernafasan;451
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem pencernaan;301
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada kulit dan jaringan subcutaneous;83
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem musculoskletal;153
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyakit pada sistem saluran kemih dan genital;49
Surabaya Barat;Sambikerep;Puskesmas Lontar;Kehamilan dan kelahiran;4
Surabaya Barat;Sambikerep;Puskesmas Lontar;Keadaan yang berasal dari periode perinatal;3
Surabaya Barat;Sambikerep;Puskesmas Lontar;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Barat;Sambikerep;Puskesmas Lontar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;163
Surabaya Barat;Sambikerep;Puskesmas Lontar;Keracunan, cedera dan beberapa penyebab yang dari luar;26
Surabaya Barat;Sambikerep;Puskesmas Lontar;Penyebab morbiditas dan kematian eksternal;3
Surabaya Barat;Sambikerep;Puskesmas Lontar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;412
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit Infeksi dan parasit;47
Surabaya Barat;Sambikerep;Puskesmas Made;Neoplasma;2
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Barat;Sambikerep;Puskesmas Made;Endokrin, nutrisi dan gangguan metabolik;75
Surabaya Barat;Sambikerep;Puskesmas Made;Gangguan jiwa dan perilaku;12
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit yang mengenai sistem syaraf;43
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit mata dan adnexa;46
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit telinga dan mastoid;18
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem sirkulasi;42
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem pernafasan;224
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem pencernaan;315
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada kulit dan jaringan subcutaneous;52
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem musculoskletal;118
Surabaya Barat;Sambikerep;Puskesmas Made;Penyakit pada sistem saluran kemih dan genital;27
Surabaya Barat;Sambikerep;Puskesmas Made;Kehamilan dan kelahiran;2
Surabaya Barat;Sambikerep;Puskesmas Made;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Sambikerep;Puskesmas Made;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Sambikerep;Puskesmas Made;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;36
Surabaya Barat;Sambikerep;Puskesmas Made;Keracunan, cedera dan beberapa penyebab yang dari luar;43
Surabaya Barat;Sambikerep;Puskesmas Made;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Sambikerep;Puskesmas Made;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;280
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit Infeksi dan parasit;161
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Neoplasma;10
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Endokrin, nutrisi dan gangguan metabolik;57
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Gangguan jiwa dan perilaku;36
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit yang mengenai sistem syaraf;28
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit mata dan adnexa;43
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit telinga dan mastoid;61
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem sirkulasi;38
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem pernafasan;441
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem pencernaan;503
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada kulit dan jaringan subcutaneous;93
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem musculoskletal;156
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyakit pada sistem saluran kemih dan genital;36
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Kehamilan dan kelahiran;25
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Keadaan yang berasal dari periode perinatal;8
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;159
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Tandes;Puskesmas Manukan Kulon;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;488
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit Infeksi dan parasit;309
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Neoplasma;22
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Endokrin, nutrisi dan gangguan metabolik;140
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Gangguan jiwa dan perilaku;17
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit yang mengenai sistem syaraf;24
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit mata dan adnexa;108
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit telinga dan mastoid;58
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem sirkulasi;109
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem pernafasan;579
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem pencernaan;797
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada kulit dan jaringan subcutaneous;161
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem musculoskletal;330
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyakit pada sistem saluran kemih dan genital;57
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Kehamilan dan kelahiran;18
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Keadaan yang berasal dari periode perinatal;5
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;314
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Keracunan, cedera dan beberapa penyebab yang dari luar;75
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;965
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit Infeksi dan parasit;161
Surabaya Timur;Sukolilo;Puskesmas Menur;Neoplasma;21
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Timur;Sukolilo;Puskesmas Menur;Endokrin, nutrisi dan gangguan metabolik;91
Surabaya Timur;Sukolilo;Puskesmas Menur;Gangguan jiwa dan perilaku;14
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit yang mengenai sistem syaraf;26
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit mata dan adnexa;95
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit telinga dan mastoid;57
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem sirkulasi;70
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem pernafasan;509
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem pencernaan;434
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada kulit dan jaringan subcutaneous;146
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem musculoskletal;225
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyakit pada sistem saluran kemih dan genital;38
Surabaya Timur;Sukolilo;Puskesmas Menur;Kehamilan dan kelahiran;21
Surabaya Timur;Sukolilo;Puskesmas Menur;Keadaan yang berasal dari periode perinatal;3
Surabaya Timur;Sukolilo;Puskesmas Menur;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Sukolilo;Puskesmas Menur;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;119
Surabaya Timur;Sukolilo;Puskesmas Menur;Keracunan, cedera dan beberapa penyebab yang dari luar;46
Surabaya Timur;Sukolilo;Puskesmas Menur;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Sukolilo;Puskesmas Menur;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;633
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit Infeksi dan parasit;189
Surabaya Timur;Gubeng;Puskesmas Mojo;Neoplasma;24
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;12
Surabaya Timur;Gubeng;Puskesmas Mojo;Endokrin, nutrisi dan gangguan metabolik;154
Surabaya Timur;Gubeng;Puskesmas Mojo;Gangguan jiwa dan perilaku;27
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit yang mengenai sistem syaraf;72
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit mata dan adnexa;200
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit telinga dan mastoid;70
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem sirkulasi;217
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem pernafasan;689
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem pencernaan;631
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada kulit dan jaringan subcutaneous;215
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem musculoskletal;315
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyakit pada sistem saluran kemih dan genital;69
Surabaya Timur;Gubeng;Puskesmas Mojo;Kehamilan dan kelahiran;19
Surabaya Timur;Gubeng;Puskesmas Mojo;Keadaan yang berasal dari periode perinatal;4
Surabaya Timur;Gubeng;Puskesmas Mojo;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Timur;Gubeng;Puskesmas Mojo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;345
Surabaya Timur;Gubeng;Puskesmas Mojo;Keracunan, cedera dan beberapa penyebab yang dari luar;88
Surabaya Timur;Gubeng;Puskesmas Mojo;Penyebab morbiditas dan kematian eksternal;3
Surabaya Timur;Gubeng;Puskesmas Mojo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;664
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit Infeksi dan parasit;82
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Neoplasma;16
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Endokrin, nutrisi dan gangguan metabolik;67
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Gangguan jiwa dan perilaku;38
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit yang mengenai sistem syaraf;27
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit mata dan adnexa;62
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit telinga dan mastoid;37
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem sirkulasi;110
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem pernafasan;434
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem pencernaan;79
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada kulit dan jaringan subcutaneous;134
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem musculoskletal;198
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyakit pada sistem saluran kemih dan genital;24
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Kehamilan dan kelahiran;12
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Keadaan yang berasal dari periode perinatal;1
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;36
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Keracunan, cedera dan beberapa penyebab yang dari luar;16
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Utara;Krembangan;Puskesmas Morokrembangan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;220
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit Infeksi dan parasit;114
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Neoplasma;14
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Endokrin, nutrisi dan gangguan metabolik;131
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Gangguan jiwa dan perilaku;10
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit yang mengenai sistem syaraf;9
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit mata dan adnexa;76
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit telinga dan mastoid;32
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem sirkulasi;134
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem pernafasan;375
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem pencernaan;399
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada kulit dan jaringan subcutaneous;52
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem musculoskletal;114
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyakit pada sistem saluran kemih dan genital;34
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Kehamilan dan kelahiran;15
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Keadaan yang berasal dari periode perinatal;5
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;112
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Keracunan, cedera dan beberapa penyebab yang dari luar;30
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;150
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit Infeksi dan parasit;195
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Neoplasma;42
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Endokrin, nutrisi dan gangguan metabolik;119
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Gangguan jiwa dan perilaku;12
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit yang mengenai sistem syaraf;25
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit mata dan adnexa;110
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit telinga dan mastoid;48
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem sirkulasi;136
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem pernafasan;468
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem pencernaan;429
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada kulit dan jaringan subcutaneous;124
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem musculoskletal;223
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyakit pada sistem saluran kemih dan genital;53
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Kehamilan dan kelahiran;3
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;108
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Keracunan, cedera dan beberapa penyebab yang dari luar;83
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Wonokromo;Puskesmas Ngagelrejo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;603
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit Infeksi dan parasit;162
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Neoplasma;9
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Endokrin, nutrisi dan gangguan metabolik;145
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Gangguan jiwa dan perilaku;16
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit yang mengenai sistem syaraf;38
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit mata dan adnexa;80
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit telinga dan mastoid;91
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem sirkulasi;192
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem pernafasan;644
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem pencernaan;300
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada kulit dan jaringan subcutaneous;165
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem musculoskletal;218
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyakit pada sistem saluran kemih dan genital;48
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Kehamilan dan kelahiran;5
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;164
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Keracunan, cedera dan beberapa penyebab yang dari luar;51
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Penyebab morbiditas dan kematian eksternal;3
Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;250
Surabaya Selatan;Sawahan;Puskesmas Pakis;Penyakit Infeksi dan parasit;136
Surabaya Selatan;Sawahan;Puskesmas Pakis;Neoplasma;42
